X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39
1.071828692408190786e+00,2.660701850503758958e+00,1.350311888572993446e+00,6.585511676072729470e-01,-4.333599686263007733e-01,1.741947551950844053e+00,5.443362610093482878e-03,-1.099667101336642805e+00,2.124462575967584588e+00,1.073645160970170931e+00,-1.143003923148641965e+00,8.422938203565732973e-01,1.823380122106405432e+00,6.310336177838659077e-01,-3.894458093602700677e-01,-8.533925773411454863e-01,4.943791518785330824e-02,-1.684474875499190283e+00,-1.093341054700457171e+00,6.998500566600036610e-01,-5.310767905713912329e-01,1.751961630664588876e+00,1.069914387473098749e+00,9.187141514529938435e-01,-1.552872325492793859e+00,1.333945762677933633e+00,-1.647678596985588273e+00,-1.870202800464224602e+00,1.126318334956658340e+00,6.236038121500009357e-01,-1.807783334559050381e+00,-1.658326450177513678e+00,5.772845379058950677e-01,4.680929676394430250e-01,8.923354739416853310e-01,-4.350148557636580371e+00,-1.511017717284554029e+00,1.478291718366218310e+00,1.733139187208372567e+00,-1.297041399789403027e+00
2.352385051954845263e+00,1.286581463559189675e+00,-2.051402350936966545e+00,1.341859959377790235e+00,1.744160925679574259e+00,4.885852053747409829e-01,-2.619090032445069216e+00,-8.091943329840951549e-01,4.398024414452808561e-01,1.784397720320494152e-01,-2.953117635784982653e+00,7.996295007592515436e-01,1.938186032890281574e+00,-1.557029046391203542e+00,-1.607837011217266410e+00,-1.448018341899758088e+00,1.470055032578264198e+00,-1.500227195129334667e+00,-8.078600040856215303e-01,-3.039780178500162688e-01,-4.089875011985741438e+00,-1.343873201854622224e+00,6.025323853748894010e-01,1.221373120845855365e+00,-4.511630343047992597e-01,-3.854903728308769928e+00,1.466891155417964443e+00,6.569933378442015526e-01,-8.508064334558620434e-01,1.010569747456741219e+00,1.426379702392426285e-01,1.822957166041997701e-01,4.384142682802625313e-01,1.485599629110455400e+00,1.216830810241212202e+00,1.135367540930437014e-01,-2.979119784472059052e-01,8.044192762620983039e-01,1.299068603973400959e+00,1.607735051482510391e+00
-8.324498432530732517e-01,2.024747419412293414e+00,-2.759609696698320236e-01,-1.175915452446922860e+00,3.554791253483072788e-01,1.085135396699411281e+00,-1.705864970857076113e+00,3.811369661850851354e-01,1.491426025203431260e+00,2.277940727514927932e+00,-1.701370391095927248e+00,-3.784709027263222225e-01,1.537617867505625124e-01,-1.005497147029924765e+00,1.226724490323399586e+00,9.166277881614708356e-01,4.291705650370968295e-01,3.173322262957736228e+00,5.270813072362874330e-01,-1.238834413466551210e+00,2.014971405568497076e+00,-6.983676688293539714e-01,3.978834151694585763e-01,-1.355297475138508845e-01,1.384010771794473849e-01,-7.087901138440535487e-01,-8.459636354544858294e-02,9.558414397150845065e-01,-3.724288231291960627e-01,-2.513492589549706224e-01,7.796710786143280503e-01,-1.755848980201432097e-01,1.098447995509513886e+00,-2.751448027253257378e-02,-7.228057826094204108e-01,3.825349919572877400e-01,3.807818366118773112e-01,1.783363869754214515e-01,1.097658257832946349e-01,3.810772272661960836e-01
-2.666717711213932862e+00,7.785446072024151398e-01,6.495715711931340230e-01,1.145925503166919102e+00,-2.326695624578201560e+00,-9.281265810688571483e-01,-1.858887019783098005e+00,-3.227341079373106103e-01,6.651219088706425420e-02,-4.962504951954296306e-01,6.367435397597747126e-01,2.986427484650934772e-01,2.678943845252592659e-01,-6.179981899315071248e-01,1.633047372954371079e+00,5.921613753338366148e-01,-7.574218209703338367e-01,-1.644352743597756294e+00,8.627225809314935379e-02,1.539665671126277724e+00,8.245903807813728115e-01,1.577392340396517545e+00,-4.316161890037298221e+00,-2.990822759972380673e+00,1.471166298502906811e+00,4.048269611766975196e+00,-1.705154722898300390e+00,-9.368757850461536529e-01,-3.177768936685273715e+00,-1.183101389409471960e+00,6.012278095978521586e-01,1.809615396196235571e+00,1.852147762297162270e+00,1.364998962311685382e+00,-1.263335462713938151e-02,1.411851900008083138e-01,1.146929141501677796e+00,5.903355912457222132e-01,-3.033609323412227887e+00,1.240677734843386837e+00
2.349127672316741133e+00,-1.422349195301369607e+00,-1.343949256954971028e-02,2.228979338230537621e+00,6.845713371268580261e-01,6.774130620283904669e-01,-7.979299147630112277e-01,-3.689051655679824737e-01,-4.652398014455605968e-01,-8.529351475124421489e-01,4.493706988034905092e-01,-1.150841920197668955e+00,-1.177341236987564432e+00,-1.503756466493138211e+00,-5.019284237897655432e-01,1.010644199275509969e+00,3.290663785290923737e-01,-3.229978629387029176e-01,-2.555289767149257485e-01,-2.236074425945080435e+00,-3.517534556630109055e+00,-1.733053382769136119e+00,-2.131283517344868983e+00,-4.244331176398276284e+00,2.196576079646939572e+00,-1.922351366914917481e+00,1.582216435209325422e-01,-1.587228322712151085e+00,-1.674766010431130603e+00,5.948069097407581163e-01,1.071235719191659719e+00,-1.726445170964179265e+00,-2.137822466469581961e+00,-1.310337720359972868e+00,4.297944369647996310e-01,1.796650425633258941e+00,1.200948917213843892e+00,-9.584805900633681652e-01,-3.732636770440095342e-01,2.265293643691228098e+00
2.563226275732660042e+00,-1.368383062225088320e+00,-8.050132683937069045e-01,-6.052542310138822046e-01,3.705688822413433670e+00,5.793438043713214913e-01,-9.373175226275876071e-02,-7.075227813529401111e-01,3.775811848276279803e-01,1.370407792762073695e+00,1.471309269933850805e+00,-2.027797331460115537e-01,2.882112124080958182e+00,-1.997702986188155228e+00,-8.250116480348774761e-01,3.079049999605194543e+00,-4.318224173992273041e-02,5.103719369006176620e+00,5.851536190689162753e-01,-4.564208653969836327e+00,1.254716856856829654e+00,-4.198247060902230432e-01,4.247309416495048673e-02,-2.591115030301475830e+00,1.633034635043319360e+00,-5.096510598688849036e+00,-3.220891509318911661e-01,6.278894689158012743e-02,-3.141284540969501382e+00,2.816151241473713873e-01,8.780378472010059721e-01,-1.262375165280915201e+00,2.334546938949894623e-01,2.666416046463392919e-01,1.373893541757160719e+00,-9.183218162889494884e-02,2.587124194294445623e-01,-8.970463549252739588e-01,-2.517215383385213556e+00,2.827242773153815669e+00
8.142533668244298362e-01,-8.427159379379216553e-01,9.750819899441565131e-02,-2.341203528573304327e-01,-9.116286203352504947e-01,6.406866250435689324e-03,2.368028500814795656e+00,3.598074364221033883e-01,-1.895065070024506970e-02,9.810968504150290315e-01,-1.904888508819961024e-01,9.102129193282291197e-01,1.076953173732777325e+00,1.819702224231636967e+00,-1.314750804786290805e+00,-2.154404047257849619e-01,-3.340870989465809515e-01,-3.047481326436232707e-01,5.840731998437762584e-01,1.420749700610349997e+00,-5.184055423842147681e-01,4.366825311811818322e-01,7.745851586040949366e-01,3.502988825705176890e+00,-5.922503218320267493e-01,2.061272396451976352e+00,-3.175899572535168525e-01,3.116141921881669385e-01,1.472372887910106343e+00,-1.656021278949278142e-01,-1.130091902305561558e+00,1.991667432738190024e-01,5.389619794917485107e-01,-1.659258742366392481e+00,-1.317953335712920060e+00,-1.368513907988442746e+00,-1.290903249830727129e+00,1.121506464420968685e+00,-2.432507813792611273e+00,-1.407900453904861848e+00
9.900552752611975205e-01,-4.467897385890986506e-01,3.811192738064272389e-01,-9.373867157684704354e-01,1.381247712815174555e+00,2.614757809285457243e-02,-9.680818456504740599e-01,-1.290804603481905677e-01,-8.163364586689212388e-01,-2.203949356771878754e-01,4.430053987926108050e-02,-3.661365253663128594e-01,2.901145541422973095e-01,-8.165574579849179671e-01,8.796251785032910275e-01,1.054623636604292258e+00,7.442229861026267157e-01,-2.440592145205967789e+00,-3.166473375661418843e-01,7.180516823890228384e-01,5.448429682981323907e+00,9.036717665671322175e-01,1.903178368530403786e-01,2.162350222733290528e-02,-2.016199766055786213e-01,-3.244023574870946725e-01,-8.132296706822897958e-01,1.098647319571532943e+00,-3.085800892964972730e-01,3.395521327038254489e-01,1.554701834150999273e+00,-1.130986557476739041e+00,-9.949625210233393746e-01,1.120663281591346649e+00,-5.967678854825881896e-01,3.508027643549032071e+00,2.851227365423620319e-01,-2.005214862946159915e+00,8.813603587179517085e-01,2.404692020986705092e-01
2.990563734057817946e+00,1.080576387874561561e+00,-8.124217476000610283e-01,1.049019344770039996e+00,5.246285226690814429e-01,1.883101121629644270e+00,-1.303850983772155692e-01,-1.431344615375102380e+00,1.802003280918550887e+00,1.280301299376603863e+00,-1.534011037037438019e+00,-7.434101936886386430e-02,9.828400537902410861e-01,-9.705370750024376880e-01,-1.435019806744793014e+00,1.322121078670447369e+00,4.687549773906929396e-01,-6.773508879562617491e-01,-1.574926668670964425e+00,-2.458526633542788276e-01,-1.125418072806298575e+00,7.277595769513364177e-01,1.839133662366541522e+00,-2.643029766356848054e+00,1.642018572878960470e+00,3.974980955014695283e-02,-2.707215619099162529e-01,-2.629059075248497135e-01,-3.179108523891448268e+00,7.875487308962407784e-01,-7.410485056176163710e-02,1.149107122088307342e+00,6.538373294955809323e-01,-7.829801584238793577e-02,1.348040096052048886e+00,-1.022554377083359167e+00,-6.091675857462492960e-01,6.531779544745529575e-01,-1.021529992187339975e+00,3.121960799747860449e+00
3.304424333068208153e+00,1.704116126999683845e+00,2.798718712627464023e-02,4.803614179578913901e-01,2.160785912418114130e+00,-5.146821885217989223e-01,-1.279975768650050361e+00,-3.199761853254814992e-01,-2.631270974741193869e-01,1.205965667032338651e+00,-5.486609979616614563e-01,1.453392668309583025e+00,2.647758801304248566e-01,-1.642376397971081481e+00,6.341766505413553023e-01,-1.248112585661203200e+00,-1.339035519933307328e-01,-8.150812539495784215e-01,2.757044970350443491e-01,5.072320213287165869e-01,-6.824019112847290458e-02,-2.122027369167499011e-01,9.355598296613112375e-01,2.309493155120658781e-01,-2.670411539737359008e-01,-1.674867375178497930e+00,5.261872962507443408e-01,1.700213286297195037e+00,2.942900827193317692e-01,9.479987213229341680e-01,-2.593213229867084024e-01,2.429387474693718296e-01,1.356279685042880878e+00,7.716274034483644462e-01,4.572397172098979778e-01,2.451909418615231040e+00,1.777484281369264008e-01,-1.074439791294927504e+00,1.319714603928889618e+00,1.161487719036473854e+00
