paper,experiment_group,data_source,p,n,seed,method,implementation,runtime,SHD,TPR,FPR,Precision,F1,acceptance_rate,mean_edge_entropy,posterior_gap,status,error,comparable_level,original_paper_trend,comment
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,500,1,c_order,C,0.029,7,0.6154,0.1017,0.5714,0.5926,0.1888,0.05179,0.5225,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,500,1,c_structure,C,0.051,16,0.2308,0.2034,0.2,0.2143,0.3675,0.119471,0.0591,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,500,2,c_order,C,0.03,3,0.75,0.0312,0.75,0.75,0.4037,0.076382,0.6237,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,500,2,c_structure,C,0.047,9,0.625,0.1094,0.4167,0.5,0.45,0.182278,0.4742,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,1000,1,c_order,C,0.03,7,0.6154,0.1017,0.5714,0.5926,0.1462,0.073437,0.5109,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,1000,1,c_structure,C,0.048,14,0.3846,0.1525,0.3571,0.3704,0.375,0.168678,0.1819,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,1000,2,c_order,C,0.029,6,0.5,0.0781,0.4444,0.4706,0.4088,0.060976,0.6271,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_flare_like,9,1000,2,c_structure,C,0.042,11,0.5,0.1406,0.3077,0.381,0.455,0.168447,0.5168,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,500,1,c_order,C,2.546,18,0.7619,0.0124,0.6667,0.7111,0.3225,0.013701,0.7123,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,500,1,c_structure,C,1.426,76,0.1667,0.0318,0.1458,0.1556,0.7013,0.049661,0.095,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,500,2,c_order,C,2.393,22,0.7,0.0163,0.5714,0.6292,0.32,0.023099,0.6645,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,500,2,c_structure,C,1.463,67,0.15,0.0279,0.1429,0.1463,0.6663,0.048263,0.0995,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,1000,1,c_order,C,2.352,24,0.6429,0.0178,0.54,0.587,0.3013,0.012948,0.6021,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,1000,1,c_structure,C,1.342,76,0.0952,0.0349,0.0816,0.0879,0.6238,0.046546,0.0405,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,1000,2,c_order,C,2.384,21,0.7,0.0139,0.6087,0.6512,0.3412,0.018855,0.7093,success,,approximate,,
Friedman and Koller (2003),order_mcmc,simulated_alarm_like,37,1000,2,c_structure,C,1.34,75,0.05,0.0317,0.0465,0.0482,0.6725,0.043588,-0.0115,success,,approximate,,
