"paper","experiment_group","data_source","p","n","seed","method","implementation","runtime","SHD","TPR","FPR","Precision","F1","acceptance_rate","mean_edge_entropy","posterior_gap","status","error","comparable_level","original_paper_trend","comment"
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,1,"order","BiDAG",1.69999999999982,6,0.642857142857143,0.0297619047619048,0.642857142857143,0.642857142857143,NA,0.0970756848538379,0.681465454279871,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,1,"partition","BiDAG",3.72999999999979,5,0.714285714285714,0.0238095238095238,0.714285714285714,0.714285714285714,NA,0.071096679002658,0.617177914110429,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,1,"manual_order","manual_R",6.31999999999994,9,0.5,0.0476190476190476,0.466666666666667,0.482758620689655,0.46375,0.133738018317153,0.48731684981685,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,1,"manual_structure","manual_R",0.460000000000036,14,0.357142857142857,0.0595238095238095,0.333333333333333,0.344827586206897,0.335,0.06234201402362,0.305952380952381,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,1,"manual_partition","manual_R",7.61999999999989,6,0.714285714285714,0.0297619047619048,0.666666666666667,0.689655172413793,0.595,0.107638546413557,0.484441391941392,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,2,"order","BiDAG",0.660000000000082,1,0.9375,0.00602409638554217,0.9375,0.9375,NA,0.0636640406944681,0.920962608101116,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,2,"partition","BiDAG",3.15000000000009,1,0.9375,0.00602409638554217,0.9375,0.9375,NA,0.0451720391091265,0.91735069110799,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,2,"manual_order","manual_R",7.09999999999991,6,0.6875,0.0301204819277108,0.6875,0.6875,0.225,0.11283275868936,0.524288693234476,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,2,"manual_structure","manual_R",0.470000000000027,11,0.5625,0.0421686746987952,0.5625,0.5625,0.325,0.0683929853808076,0.442386468952734,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,200,2,"manual_partition","manual_R",7.42000000000007,6,0.6875,0.0240963855421687,0.733333333333333,0.709677419354839,0.52,0.100969968867215,0.635717099165894,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,1,"order","BiDAG",0.649999999999864,5,0.785714285714286,0.0238095238095238,0.733333333333333,0.758620689655172,NA,0.0898156314311564,0.753213555360795,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,1,"partition","BiDAG",8.1400000000001,6,0.714285714285714,0.0297619047619048,0.666666666666667,0.689655172413793,NA,0.0629256608856827,0.645566754309085,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,1,"manual_order","manual_R",7.04999999999995,9,0.642857142857143,0.0476190476190476,0.529411764705882,0.580645161290323,0.4575,0.0864376189385401,0.533498168498169,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,1,"manual_structure","manual_R",0.470000000000027,16,0.428571428571429,0.0654761904761905,0.352941176470588,0.387096774193548,0.34625,0.0522720001940517,0.391932234432234,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,1,"manual_partition","manual_R",7.16000000000008,12,0.5,0.0654761904761905,0.388888888888889,0.4375,0.51875,0.111514009392774,0.431236263736264,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,2,"order","BiDAG",0.6099999999999,0,1,0,1,1,NA,0.0587687019636894,0.915781608027201,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,2,"partition","BiDAG",2.88000000000011,5,0.75,0.0240963855421687,0.75,0.75,NA,0.028583899349255,0.719844408308079,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,2,"manual_order","manual_R",6.8599999999999,7,0.6875,0.036144578313253,0.647058823529412,0.666666666666667,0.26625,0.0739360467438192,0.630867701575533,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,2,"manual_structure","manual_R",0.450000000000045,13,0.5,0.0481927710843374,0.5,0.5,0.29125,0.0514710698843584,0.437860287303058,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_boston_like",14,500,2,"manual_partition","manual_R",6.91999999999985,9,0.625,0.0481927710843374,0.555555555555556,0.588235294117647,0.4675,0.0604276966472538,0.479126506024096,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,1,"order","BiDAG",0.720000000000027,15,0.565217391304348,0.0336134453781513,0.52,0.541666666666667,NA,0.0568612720122517,0.581227262844321,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,1,"partition","BiDAG",6.25999999999999,3,0.869565217391304,0.00840336134453781,0.869565217391304,0.869565217391304,NA,0.0591682234631262,0.831430080701259,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,1,"manual_order","manual_R",18.3500000000001,6,0.782608695652174,0.00840336134453781,0.857142857142857,0.818181818181818,0.3575,0.086970363394027,0.762903047506628,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,1,"manual_structure","manual_R",0.690000000000055,29,0.260869565217391,0.0532212885154062,0.24,0.25,0.3875,0.0546607897653607,0.235069278547539,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,1,"manual_partition","manual_R",19.3499999999999,12,0.652173913043478,0.0224089635854342,0.652173913043478,0.652173913043478,0.505,0.0971879616349005,0.550395810498112,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,2,"order","BiDAG",0.730000000000018,9,0.692307692307692,0.0169491525423729,0.75,0.72,NA,0.0824941589222606,0.624857357297307,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,2,"partition","BiDAG",4.76999999999998,6,0.846153846153846,0.0141242937853107,0.814814814814815,0.830188679245283,NA,0.0465953600970942,0.833914302397197,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,2,"manual_order","manual_R",19.45,13,0.576923076923077,0.0282485875706215,0.6,0.588235294117647,0.32625,0.0856506735500272,0.536640256744559,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,2,"manual_structure","manual_R",1.40999999999985,37,0.230769230769231,0.0621468926553672,0.214285714285714,0.222222222222222,0.35125,0.0540029700065248,0.189027178818574,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,200,2,"manual_partition","manual_R",19.0800000000002,22,0.384615384615385,0.0536723163841808,0.344827586206897,0.363636363636364,0.53625,0.0744543098279652,0.342539698458864,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,1,"order","BiDAG",0.740000000000009,7,0.782608695652174,0.0168067226890756,0.75,0.765957446808511,NA,0.0552068768480075,0.764044454805128,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,1,"partition","BiDAG",4.66999999999985,2,0.91304347826087,0.00560224089635854,0.91304347826087,0.91304347826087,NA,0.0350485774284638,0.901105430168867,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,1,"manual_order","manual_R",17.6300000000001,11,0.652173913043478,0.0280112044817927,0.6,0.625,0.34125,0.091463898432188,0.571177313734858,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,1,"manual_structure","manual_R",0.619999999999891,32,0.304347826086957,0.0504201680672269,0.28,0.291666666666667,0.37125,0.0508654021396021,0.203712468264898,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,1,"manual_partition","manual_R",18.0600000000002,10,0.695652173913043,0.0196078431372549,0.695652173913043,0.695652173913043,0.5,0.100622333087262,0.542784444881632,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,2,"order","BiDAG",0.730000000000018,10,0.653846153846154,0.019774011299435,0.708333333333333,0.68,NA,0.071884470651946,0.646509053145738,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,2,"partition","BiDAG",3.81999999999994,9,0.730769230769231,0.0225988700564972,0.703703703703704,0.716981132075472,NA,0.0508155399256985,0.708473776405564,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,2,"manual_order","manual_R",31.98,14,0.5,0.0338983050847458,0.52,0.509803921568627,0.3125,0.0694359596268615,0.434288102162939,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,2,"manual_structure","manual_R",1.27999999999997,36,0.269230769230769,0.0649717514124294,0.233333333333333,0.25,0.3075,0.0443587772797443,0.166353759235115,"success","","approximate","",""
"Kuipers and Moffa (2017)","partition_mcmc","simulated_large_like",20,500,2,"manual_partition","manual_R",23.3299999999999,20,0.423076923076923,0.0536723163841808,0.366666666666667,0.392857142857143,0.51625,0.0634373107812305,0.338319794069468,"success","","approximate","",""
"Friedman and Koller (2003)","order_mcmc","simulated_alarm_like",37,1000,1,"order","BiDAG",1.20000000000005,21,0.738095238095238,0.0162790697674419,0.596153846153846,0.659574468085106,NA,0.0474107080681485,0.63025582754146,"success","","approximate","",""
"Friedman and Koller (2003)","order_mcmc","simulated_alarm_like",37,1000,1,"manual_order","manual_R",117.72,26,0.595238095238095,0.0193798449612403,0.5,0.543478260869565,0.29125,0.0327685868381317,0.526991396200698,"success","","approximate","",""
"Friedman and Koller (2003)","order_mcmc","simulated_alarm_like",37,1000,1,"manual_structure","manual_R",2.72000000000003,59,0.166666666666667,0.0217054263565891,0.2,0.181818181818182,0.29,0.0163219750569824,0.0937349007581566,"success","","approximate","",""
