"source_file","method","p","n","seed","mean_edge_posterior","mean_entropy","high_uncertainty_fraction","confident_fraction","true_edge_mean_posterior","false_edge_mean_posterior"
"case_p10_n200_seed1.rds","order",10,200,1,0.115023286759814,0.109411240825825,0.0222222222222222,0.955555555555556,0.889021956087824,0.029023434612257
"case_p10_n200_seed1.rds","partition",10,200,1,0.119019138755981,0.122094442517444,0.0222222222222222,0.877777777777778,0.76555023923445,0.0471823498139288
"case_p10_n200_seed2.rds","order",10,200,2,0.145322687957418,0.108166261876372,0.0555555555555556,0.877777777777778,0.697904191616766,0.0603101489329034
"case_p10_n200_seed2.rds","partition",10,200,2,0.153309409888357,0.114656175939146,0.0555555555555556,0.877777777777778,0.831937799043062,0.048905042326095
"case_p10_n200_seed3.rds","order",10,200,3,0.146081170991351,0.0727519031645352,0.0555555555555556,0.911111111111111,0.711776447105788,0.0590511285122064
"case_p10_n200_seed3.rds","partition",10,200,3,0.14597288676236,0.080744398433411,0.0222222222222222,0.944444444444444,0.575259170653908,0.0799288430867378
"case_p10_n500_seed1.rds","order",10,500,1,0.108170326014637,0.0785494611177939,0.0222222222222222,0.955555555555556,0.910179640718563,0.0190581799364234
"case_p10_n500_seed1.rds","partition",10,500,1,0.115962254120149,0.1170122681629,0.0222222222222222,0.9,0.86735778841042,0.0324738614212298
"case_p10_n500_seed2.rds","order",10,500,2,0.141676646706587,0.0749540307426022,0.0777777777777778,0.922222222222222,0.693213572854291,0.0568248119146323
"case_p10_n500_seed2.rds","partition",10,500,2,0.141905901116427,0.0505016444303983,0.0333333333333333,0.966666666666667,0.885267145135566,0.0275426328057907
"case_p10_n500_seed3.rds","order",10,500,3,0.142155688622754,0.0997893189358933,0.0444444444444444,0.877777777777778,0.841916167664671,0.0345002303086135
"case_p10_n500_seed3.rds","partition",10,500,3,0.145188729399256,0.0678944329373458,0.0111111111111111,0.977777777777778,0.82914673046252,0.0399644215433689
"case_p20_n100_seed1.rds","order",20,100,1,0.0558588086983927,0.111871266408302,0.0605263157894737,0.913157894736842,0.632335329341317,0.0321679927815602
"case_p20_n100_seed1.rds","partition",20,100,1,0.0616060186351045,0.0876520527785125,0.0236842105263158,0.95,0.446969696969697,0.0457691551419021
"case_p20_n100_seed2.rds","order",20,100,2,0.0640056728647967,0.0723461858042129,0.0157894736842105,0.95,0.557171371542629,0.0351575400730572
"case_p20_n100_seed2.rds","partition",20,100,2,0.0741123142785193,0.0706823545437493,0.0131578947368421,0.957894736842105,0.717931191615402,0.0364516000053311
"case_p20_n100_seed3.rds","order",20,100,3,0.0539678537661519,0.0901838229005676,0.0315789473684211,0.95,0.785543199315654,0.0259840973790125
"case_p20_n100_seed3.rds","partition",20,100,3,0.0579954671367414,0.0933227509269501,0.0236842105263158,0.955263157894737,0.692327409432673,0.0337314037702303
"case_p20_n1000_seed1.rds","order",20,1000,1,0.0454081311062086,0.0519745280347147,0.0263157894736842,0.973684210526316,0.823233532934132,0.0134427036338282
"case_p20_n1000_seed1.rds","partition",20,1000,1,0.0467420045328633,0.0431017386609669,0.0184210526315789,0.978947368421053,0.917942583732057,0.0109392410041293
"case_p20_n1000_seed2.rds","order",20,1000,2,0.057589032461393,0.0415021259712305,0.0105263157894737,0.971052631578947,0.841802110065583,0.011715844077861
"case_p20_n1000_seed2.rds","partition",20,1000,2,0.0628966255351297,0.0471845507035357,0.0157894736842105,0.976315789473684,0.891774891774892,0.0144107102397676
"case_p20_n1000_seed3.rds","order",20,1000,3,0.0444784115978569,0.0535306578891739,0.0105263157894737,0.960526315789474,0.885970915312233,0.0122901737508589
"case_p20_n1000_seed3.rds","partition",20,1000,3,0.0470630823470159,0.0490442263159445,0.0105263157894737,0.986842105263158,0.892173615857826,0.0147364499176406
"case_p20_n200_seed1.rds","order",20,200,1,0.0520044122281752,0.0781394908230357,0.0210526315789474,0.955263157894737,0.794570858283433,0.0214879829382331
"case_p20_n200_seed1.rds","partition",20,200,1,0.0571833291362377,0.0915089109886355,0.0315789473684211,0.947368421052632,0.799043062200957,0.0266959428459068
"case_p20_n200_seed2.rds","order",20,200,2,0.0629719508351718,0.05794031179718,0.0210526315789474,0.965789473684211,0.819960079840319,0.0186913081914166
"case_p20_n200_seed2.rds","partition",20,200,2,0.0756862251322085,0.0670197142069067,0.00789473684210526,0.960526315789474,0.77654363180679,0.034688995215311
"case_p20_n200_seed3.rds","order",20,200,3,0.0500535770564135,0.0823970318753226,0.0342105263157895,0.960526315789474,0.823524379811805,0.0204672621969176
"case_p20_n200_seed3.rds","partition",20,200,3,0.0579797280282045,0.0902809303808319,0.0394736842105263,0.952631578947368,0.776828434723172,0.0304827829633697
"case_p20_n500_seed1.rds","order",20,500,1,0.048313898518752,0.0647270471901022,0.0210526315789474,0.963157894736842,0.828662674650699,0.0162447707325076
"case_p20_n500_seed1.rds","partition",20,500,1,0.0496631830773105,0.0583921602697837,0.0236842105263158,0.963157894736842,0.877511961722488,0.0156420003932621
"case_p20_n500_seed2.rds","order",20,500,2,0.0592467696186574,0.0478961456761293,0.0184210526315789,0.968421052631579,0.840262332477901,0.0135606224876153
"case_p20_n500_seed2.rds","partition",20,500,2,0.0648105011332158,0.0471260492705621,0.0157894736842105,0.976315789473684,0.887388926862611,0.0166931001852568
"case_p20_n500_seed3.rds","order",20,500,3,0.0475669713205169,0.0597051246152329,0.0210526315789474,0.973684210526316,0.864927288280582,0.0163018225843395
"case_p20_n500_seed3.rds","partition",20,500,3,0.0535916645681189,0.068378802778921,0.0210526315789474,0.968421052631579,0.869958988380041,0.022364499176406
"case_p30_n500_seed1.rds","order",30,500,1,0.0300414711495688,0.0523212358126921,0.0126436781609195,0.968965517241379,0.723503515342664,0.0145587698103575
"case_p30_n500_seed1.rds","partition",30,500,1,0.0287198669991687,0.0334422546556707,0.00574712643678161,0.987356321839081,0.731395196219976,0.0130314636440626
