"method","p","n","mean_edge_posterior","mean_entropy","high_uncertainty_fraction","confident_fraction","true_edge_mean_posterior","false_edge_mean_posterior"
"order",8,100,0.173107675906183,0.173759926449854,0.107142857142857,0.785714285714286,0.821206467661691,0.0650912106135987
"partition",8,100,0.185206626291414,0.111609346808139,0.0357142857142857,0.910714285714286,0.873753117206983,0.0704488778054863
"order",20,100,0.0579441117764471,0.0914670917043608,0.0359649122807018,0.937719298245614,0.6583499667332,0.0311032100778766
"partition",20,100,0.064571266683455,0.083885719416404,0.0201754385964912,0.954385964912281,0.619076099339257,0.0386507196391545
"order",10,200,0.135475715236194,0.0967764686222441,0.0444444444444444,0.914814814814815,0.766234198270126,0.0494615706857889
"partition",10,200,0.139433811802233,0.105831672296667,0.0333333333333333,0.9,0.724249069643807,0.0586720784089205
"order",20,200,0.0550099800399202,0.0728256114985128,0.0254385964912281,0.960526315789474,0.812685105978519,0.0202155177755225
"partition",20,200,0.0636164274322169,0.0829365185254581,0.0263157894736842,0.953508771929825,0.784138376243639,0.0306225736748625
"order",10,500,0.130667553781326,0.0844309369320965,0.0481481481481481,0.918518518518519,0.815103127079175,0.0367944073865564
"partition",10,500,0.134352294878611,0.0784694485102148,0.0222222222222222,0.948148148148148,0.860590554669502,0.0333269719234632
"order",20,500,0.0517092131526421,0.0574427724938215,0.0201754385964912,0.968421052631579,0.844617431803061,0.0153690719348208
"partition",20,500,0.0560217829262151,0.0579656707730889,0.0201754385964912,0.969298245614035,0.878286625655047,0.0182331999183083
"order",30,500,0.0429506220672435,0.0556236084029202,0.0252873563218391,0.950574712643678,0.653599785474416,0.0234866168616317
"partition",30,500,0.0387651560753289,0.0288857604479985,0.0028735632183908,0.990804597701149,0.825157057569448,0.0115968166250298
"iterative",40,500,0.0340992911198391,0.0377878569745293,0.00512820512820513,0.987820512820513,0.776431055953966,0.0133688249305132
"order",50,500,0.0280767444702432,0.0361080332909596,0.00897959183673469,0.975102040816327,0.55297568129048,0.0173645212698302
"partition",50,500,0.0258236500341763,0.0271668283069865,0.0036734693877551,0.992244897959184,0.908260912020311,0.00781472632017361
"order",20,1000,0.0491585250551529,0.049002437298373,0.0157894736842105,0.968421052631579,0.850335519437316,0.0124829071541827
"partition",20,1000,0.0522339041383363,0.0464435052268157,0.0149122807017544,0.980701754385965,0.900630363788259,0.0133621337205125
