"method","runtime","status","error","SHD","TPR","FPR","precision","recall","F1","p","n","expected_degree","seed","mcmc_steps","burnin"
"order",0.94,"success",NA,6,0.733333333333333,0.0136986301369863,0.6875,0.733333333333333,0.709677419354839,20,100,2,1,3000,500
"partition",3.34,"success",NA,12,0.466666666666667,0.0301369863013699,0.388888888888889,0.466666666666667,0.424242424242424,20,100,2,1,3000,500
"order",0.909999999999999,"success",NA,2,0.933333333333333,0.00547945205479452,0.875,0.933333333333333,0.903225806451613,20,200,2,1,3000,500
"partition",2.8,"success",NA,4,0.866666666666667,0.010958904109589,0.764705882352941,0.866666666666667,0.8125,20,200,2,1,3000,500
"order",0.75,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,500,2,1,3000,500
"partition",2.09,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,500,2,1,3000,500
"order",0.789999999999999,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,1000,2,1,3000,500
"partition",2.1,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,1000,2,1,3000,500
"order",0.780000000000001,"success",NA,15,0.571428571428571,0.0250696378830084,0.571428571428571,0.571428571428571,0.571428571428571,20,100,2,2,3000,500
"partition",4.69,"success",NA,10,0.666666666666667,0.0250696378830084,0.608695652173913,0.666666666666667,0.636363636363636,20,100,2,2,3000,500
"order",0.960000000000001,"success",NA,6,0.761904761904762,0.0139275766016713,0.761904761904762,0.761904761904762,0.761904761904762,20,200,2,2,3000,500
"partition",4.04,"success",NA,6,0.80952380952381,0.0167130919220056,0.739130434782609,0.80952380952381,0.772727272727273,20,200,2,2,3000,500
"order",0.809999999999999,"success",NA,4,0.857142857142857,0.00835654596100279,0.857142857142857,0.857142857142857,0.857142857142857,20,500,2,2,3000,500
"partition",3.99,"success",NA,4,0.857142857142857,0.011142061281337,0.818181818181818,0.857142857142857,0.837209302325581,20,500,2,2,3000,500
"order",0.840000000000003,"success",NA,5,0.80952380952381,0.011142061281337,0.80952380952381,0.80952380952381,0.80952380952381,20,1000,2,2,3000,500
"partition",3.94,"success",NA,5,0.80952380952381,0.0139275766016713,0.772727272727273,0.80952380952381,0.790697674418605,20,1000,2,2,3000,500
"order",0.809999999999995,"success",NA,3,1,0.00819672131147541,0.823529411764706,1,0.903225806451613,20,100,2,3,3000,500
"partition",2.98,"success",NA,5,0.785714285714286,0.0136612021857923,0.6875,0.785714285714286,0.733333333333333,20,100,2,3,3000,500
"order",0.829999999999998,"success",NA,2,0.857142857142857,0.00546448087431694,0.857142857142857,0.857142857142857,0.857142857142857,20,200,2,3,3000,500
"partition",3,"success",NA,7,0.785714285714286,0.0191256830601093,0.611111111111111,0.785714285714286,0.6875,20,200,2,3,3000,500
"order",0.829999999999998,"success",NA,3,0.857142857142857,0.00819672131147541,0.8,0.857142857142857,0.827586206896552,20,500,2,3,3000,500
"partition",3.05,"success",NA,3,0.857142857142857,0.00819672131147541,0.8,0.857142857142857,0.827586206896552,20,500,2,3,3000,500
"order",0.840000000000003,"success",NA,1,0.928571428571429,0.00273224043715847,0.928571428571429,0.928571428571429,0.928571428571429,20,1000,2,3,3000,500
"partition",2.16999999999999,"success",NA,1,0.928571428571429,0.00273224043715847,0.928571428571429,0.928571428571429,0.928571428571429,20,1000,2,3,3000,500
