"method","runtime","status","error","SHD","TPR","FPR","precision","recall","F1","p","n","expected_degree","seed","mcmc_steps","burnin"
"order",0.84,"success",NA,1,0.888888888888889,0.0123456790123457,0.888888888888889,0.888888888888889,0.888888888888889,10,200,2,1,3000,500
"partition",1.94,"success",NA,2,0.777777777777778,0.0246913580246914,0.777777777777778,0.777777777777778,0.777777777777778,10,200,2,1,3000,500
"order",0.82,"success",NA,2,0.933333333333333,0.00547945205479452,0.875,0.933333333333333,0.903225806451613,20,200,2,1,3000,500
"partition",5.23,"success",NA,4,0.866666666666667,0.010958904109589,0.764705882352941,0.866666666666667,0.8125,20,200,2,1,3000,500
"order",1.44,"success",NA,1,0.888888888888889,0.0123456790123457,0.888888888888889,0.888888888888889,0.888888888888889,10,500,2,1,3000,500
"partition",4.94,"success",NA,0,1,0,1,1,1,10,500,2,1,3000,500
"order",1.59,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,500,2,1,3000,500
"partition",4.31,"success",NA,2,0.866666666666667,0.00547945205479452,0.866666666666667,0.866666666666667,0.866666666666667,20,500,2,1,3000,500
"order",1.32,"success",NA,4,0.833333333333333,0.0384615384615385,0.769230769230769,0.833333333333333,0.8,10,200,2,2,3000,500
"partition",6.39,"success",NA,2,0.916666666666667,0.0256410256410256,0.846153846153846,0.916666666666667,0.88,10,200,2,2,3000,500
"order",1.66,"success",NA,6,0.761904761904762,0.0139275766016713,0.761904761904762,0.761904761904762,0.761904761904762,20,200,2,2,3000,500
"partition",8.88,"success",NA,6,0.80952380952381,0.0167130919220056,0.739130434782609,0.80952380952381,0.772727272727273,20,200,2,2,3000,500
"order",1.27,"success",NA,7,0.583333333333333,0.0769230769230769,0.538461538461538,0.583333333333333,0.56,10,500,2,2,3000,500
"partition",6.73,"success",NA,3,0.833333333333333,0.0384615384615385,0.769230769230769,0.833333333333333,0.8,10,500,2,2,3000,500
"order",1.64,"success",NA,4,0.857142857142857,0.00835654596100279,0.857142857142857,0.857142857142857,0.857142857142857,20,500,2,2,3000,500
"partition",8.25,"success",NA,4,0.857142857142857,0.011142061281337,0.818181818181818,0.857142857142857,0.837209302325581,20,500,2,2,3000,500
"order",1.29,"success",NA,5,0.666666666666667,0.0641025641025641,0.615384615384615,0.666666666666667,0.64,10,200,2,3,3000,500
"partition",6.75,"success",NA,5,0.666666666666667,0.0641025641025641,0.615384615384615,0.666666666666667,0.64,10,200,2,3,3000,500
"order",1.8,"success",NA,2,0.857142857142857,0.00546448087431694,0.857142857142857,0.857142857142857,0.857142857142857,20,200,2,3,3000,500
"partition",6.65000000000001,"success",NA,7,0.785714285714286,0.0191256830601093,0.611111111111111,0.785714285714286,0.6875,20,200,2,3,3000,500
"order",1.27,"success",NA,1,0.916666666666667,0.0128205128205128,0.916666666666667,0.916666666666667,0.916666666666667,10,500,2,3,3000,500
"partition",4.68000000000001,"success",NA,2,0.833333333333333,0.0256410256410256,0.833333333333333,0.833333333333333,0.833333333333333,10,500,2,3,3000,500
"order",1.77,"success",NA,3,0.857142857142857,0.00819672131147541,0.8,0.857142857142857,0.827586206896552,20,500,2,3,3000,500
"partition",6.64,"success",NA,3,0.857142857142857,0.00819672131147541,0.8,0.857142857142857,0.827586206896552,20,500,2,3,3000,500
